City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Luderitz,NA,2022-09-03 20:21:00,-26.6481,15.1594,54.7,80,0,6.31,clear sky
191,Sooke,CA,2022-09-03 20:21:01,48.3746,-123.7276,73.38,63,32,14.97,scattered clouds
192,Labuhan,ID,2022-09-03 20:21:01,-6.8844,112.2051,77.54,79,96,11.95,overcast clouds
193,Delesti,RO,2022-09-03 20:21:01,46.7,27.55,50.94,93,97,4.59,overcast clouds
194,Muroto,JP,2022-09-03 20:21:02,33.2833,134.15,79.83,81,63,8.86,broken clouds
195,Sorland,NO,2022-09-03 20:21:02,67.667,12.6934,51.66,67,5,6.93,clear sky
196,Payakumbuh,ID,2022-09-03 20:21:03,-0.2202,100.6308,67.82,88,100,3.76,light rain
197,Mufulira,ZM,2022-09-03 20:21:03,-12.5498,28.2407,68.13,44,14,6.38,few clouds
198,Lethem,GY,2022-09-03 20:21:04,3.3803,-59.7968,85.12,69,79,2.35,broken clouds
199,Port Hedland,AU,2022-09-03 20:21:04,-20.3167,118.5667,59.05,100,100,4.61,fog
200,Asfi,MA,2022-09-03 20:19:13,32.2994,-9.2372,70.43,79,0,18.37,clear sky
201,Te Anau,NZ,2022-09-03 20:21:04,-45.4167,167.7167,41.11,85,100,10.18,overcast clouds
202,Hami,CN,2022-09-03 20:21:05,42.8,93.45,73.04,24,0,6.73,clear sky
203,Clyde River,CA,2022-09-03 20:21:05,70.4692,-68.5914,43.03,87,100,10.36,overcast clouds
204,Kangaatsiaq,GL,2022-09-03 20:21:06,68.3065,-53.4641,42.46,89,100,12.28,overcast clouds
205,Vestmanna,FO,2022-09-03 20:21:06,62.1564,-7.1664,52.72,66,3,3.44,clear sky
206,Victoria,HK,2022-09-03 20:17:17,22.2855,114.1577,85.32,63,70,15.01,broken clouds
207,Nanortalik,GL,2022-09-03 20:21:07,60.1432,-45.2371,45.3,78,100,12.26,overcast clouds
208,Araouane,ML,2022-09-03 20:21:07,18.9048,-3.5265,97.75,26,83,5.86,broken clouds
209,Meadow Lake,US,2022-09-03 20:21:08,34.8014,-106.5436,88.66,30,0,11.81,clear sky
210,Pacifica,US,2022-09-03 20:21:08,37.6138,-122.4869,94.14,69,0,18.41,clear sky
211,Husavik,IS,2022-09-03 20:21:08,66.0449,-17.3389,50.32,94,100,5.77,overcast clouds
212,El Vigia,VE,2022-09-03 20:21:09,8.6219,-71.6506,90.25,59,62,3.49,broken clouds
213,Macheng,CN,2022-09-03 20:21:09,31.1783,115.0319,69.96,55,84,7.0,broken clouds
214,Margate,GB,2022-09-03 20:21:09,51.3813,1.3862,66.69,81,97,1.99,overcast clouds
215,Rapid City,US,2022-09-03 20:19:13,44.0805,-103.231,93.72,31,0,18.41,clear sky
216,Ha Giang,VN,2022-09-03 20:21:10,22.8333,104.9833,76.96,99,100,1.54,light rain
217,Great Yarmouth,GB,2022-09-03 20:21:10,52.6083,1.7305,68.41,82,79,10.29,broken clouds
218,Necochea,AR,2022-09-03 20:21:11,-38.5473,-58.7368,63.27,44,0,11.43,clear sky
219,Chingirlau,KZ,2022-09-03 20:21:11,51.095,54.0814,55.96,35,5,8.97,clear sky
220,Kalundborg,DK,2022-09-03 20:21:12,55.6795,11.0886,62.94,70,46,19.66,scattered clouds
221,Mount Gambier,AU,2022-09-03 20:21:12,-37.8333,140.7667,46.33,86,95,5.06,overcast clouds
222,Grindavik,IS,2022-09-03 20:21:12,63.8424,-22.4338,49.95,100,100,6.91,fog
223,Kosino,RU,2022-09-03 20:21:13,58.4127,51.2782,43.54,75,7,9.93,clear sky
224,Ponta Do Sol,PT,2022-09-03 20:21:13,32.6667,-17.1,74.71,93,44,2.1,scattered clouds
225,Beringovskiy,RU,2022-09-03 20:21:13,63.05,179.3167,52.66,71,100,6.33,overcast clouds
226,Comodoro Rivadavia,AR,2022-09-03 20:21:14,-45.8667,-67.5,64.26,34,0,24.16,clear sky
227,Gamba,GA,2022-09-03 20:22:14,-2.65,10.0,73.87,82,43,9.22,scattered clouds
228,Lata,PT,2022-09-03 20:22:15,40.1629,-8.3327,56.71,87,0,3.04,clear sky
229,Kemijarvi,FI,2022-09-03 20:22:16,66.7131,27.4306,42.91,68,100,10.71,overcast clouds
230,Muros,ES,2022-09-03 20:22:16,42.7762,-9.0603,65.08,80,80,11.54,broken clouds
231,San Patricio,US,2022-09-03 20:22:16,28.017,-97.5169,85.06,63,100,12.1,overcast clouds
232,Bulgan,MN,2022-09-03 20:22:17,48.8125,103.5347,36.73,88,97,3.36,overcast clouds
233,Salalah,OM,2022-09-03 20:22:17,17.0151,54.0924,77.09,88,100,6.91,overcast clouds
234,Naze,JP,2022-09-03 20:22:17,28.3667,129.4833,81.52,87,100,27.2,moderate rain
235,Saint-Joseph,RE,2022-09-03 20:22:18,-21.3667,55.6167,64.78,77,18,10.96,few clouds
236,Narsaq,GL,2022-09-03 20:22:18,60.9167,-46.05,50.22,95,100,3.44,light rain
237,Dudinka,RU,2022-09-03 20:22:19,69.4058,86.1778,41.92,73,100,9.44,overcast clouds
238,Molina De Segura,ES,2022-09-03 20:22:19,38.0546,-1.2076,80.71,65,18,1.99,few clouds
239,Fortuna,US,2022-09-03 20:22:20,40.5982,-124.1573,73.92,74,20,17.27,few clouds
240,Awjilah,LY,2022-09-03 20:22:20,29.1081,21.2869,85.53,41,0,13.65,clear sky
241,Iqaluit,CA,2022-09-03 20:22:21,63.7506,-68.5145,41.7,93,100,6.91,light rain
242,Eydhafushi,MV,2022-09-03 20:22:21,5.1033,73.0708,79.84,83,91,17.63,overcast clouds
243,Panama City,PA,2022-09-03 20:18:24,8.9936,-79.5197,85.95,77,40,8.05,thunderstorm
244,Birao,CF,2022-09-03 20:22:22,10.2849,22.7882,71.49,97,10,5.12,clear sky
245,Souillac,MU,2022-09-03 20:22:22,-20.5167,57.5167,68.38,88,40,4.61,light rain
246,Hasaki,JP,2022-09-03 20:22:22,35.7333,140.8333,73.29,88,100,6.29,overcast clouds
247,Kisangani,CD,2022-09-03 20:22:23,0.5167,25.2,68.54,96,25,0.72,scattered clouds
248,Fairview,US,2022-09-03 20:21:33,40.8126,-73.999,83.77,58,0,11.5,clear sky
249,Dunedin,NZ,2022-09-03 20:22:24,-45.8742,170.5036,48.79,52,52,7.0,broken clouds
250,Luanda,AO,2022-09-03 20:22:24,-8.8368,13.2343,73.4,83,0,2.3,clear sky
251,Msowero,TZ,2022-09-03 20:22:24,-6.5333,37.2,69.82,66,9,5.57,clear sky
252,Vardo,NO,2022-09-03 20:22:25,70.3705,31.1107,42.78,81,100,20.71,overcast clouds
253,Torbat-E Jam,IR,2022-09-03 20:22:25,35.244,60.6225,74.21,14,0,16.31,clear sky
254,Khatanga,RU,2022-09-03 20:22:26,71.9667,102.5,31.53,83,42,5.44,scattered clouds
255,Qiongshan,CN,2022-09-03 20:22:26,20.0058,110.3542,76.98,88,43,4.47,scattered clouds
256,Payo,ID,2022-09-03 20:22:26,-3.7508,103.6372,71.22,90,100,1.74,overcast clouds
257,General Roca,AR,2022-09-03 20:22:27,-39.0333,-67.5833,75.81,8,0,10.56,clear sky
258,Nacala,MZ,2022-09-03 20:22:27,-14.5428,40.6728,69.73,83,0,5.03,clear sky
259,Roald,NO,2022-09-03 20:22:28,62.5833,6.1333,59.76,87,75,8.05,broken clouds
260,Kaitangata,NZ,2022-09-03 20:22:28,-46.2817,169.8464,41.52,94,100,19.57,overcast clouds
